  PID TTY      STAT   TIME COMMAND
 2362 ?        Sl     0:05 /usr/libexec/wnck-applet
 2363 ?        Sl     0:00 /usr/libexec/trashapplet
 2366 ?        Sl     0:00 /usr/libexec/mixer_applet2
 2368 ?        Sl     0:00 /usr/libexec/gweather-applet-2
 2369 ?        Sl     0:45 /usr/libexec/multiload-applet-2
 2372 ?        Sl     0:00 /usr/libexec/clock-applet
 2373 ?        Sl     0:00 /usr/libexec/notification-area-applet
 2392 ?        S      0:00 /usr/libexec/gvfsd-burn --spawner :1.13 /org/gtk/gvfs/exec_spaw/1
 2394 ?        Sl     0:00 /usr/libexec/e-calendar-factory
 2412 ?        S      0:00 /usr/libexec/gvfsd-metadata
 2428 ?        Sl     1:07 /home/pavel/pavel/soft/skype_static-2.2.0.35/skype
 2962 ?        SLl    1:23 totem /home/pavel/Song/5. Taka - Ferdous Wahid & Shithi Saha (MyTuneBD.coM).mp3
 3056 ?        Sl     0:05 gnome-terminal
 3059 pts/0    Ss     0:00 -bash
 3065 pts/0    S+     0:00 ping 192.168.90.1
 3338 ?        S      0:00 [kworker/0:2]
 3390 ?        S<     0:00 /sbin/udevd --daemon
 3391 ?        S<     0:00 /sbin/udevd --daemon
 3397 ?        S      0:00 /usr/libexec/gvfsd-computer --spawner :1.13 /org/gtk/gvfs/exec_spaw/3
 3414 ?        Sl     0:02 gedit /home/pavel/pavel/prog/for_fun/device_driver/linux_DD/module/m_8_lock/lock.c
 3436 ?        SLl    0:38 /usr/lib/chromium-browser/chrome --extra-plugin-dir=/usr/lib/nsbrowser/plugins
 3440 ?        Sl     0:00 /usr/lib/chromium-browser/chrome --extra-plugin-dir=/usr/lib/nsbrowser/plugins
 3442 ?        S      0:00 /usr/lib/chromium-browser/chrome --type=zygote
 3444 ?        S      0:00 /usr/lib/chromium-browser/nacl_helper_bootstrap /usr/lib/chromium-browser/nacl_helper --at-zero
 3470 ?        Sl     0:00 /usr/lib/chromium-browser/chrome --type=renderer --lang=en-US --force-fieldtest=ConnCountImpact/conn_count_6/ConnnectBackupJobs/ConnectBackupJobsEnabled/DnsImpact/default_enabled_prefetch/DnsParallelism/parallel_default/GlobalSdch/global_enable_sdch/IdleSktToImpact/idle_timeout_10/Instant/Inactive/Prefetch/ContentPrefetchPrerenderControl1/PrerenderFromOmniboxHeuristic/ConservativeAlgorithm/ProxyConnectionImpact/proxy_connections_32/SpdyImpact/npn_with_spdy/WarmSocketImpact/warm_socket/ --extension-process --channel=3436.0xb870dd80.931908701
 3521 ?        Sl     0:00 /usr/lib/chromium-browser/chrome --type=renderer --lang=en-US --force-fieldtest=ConnCountImpact/conn_count_6/ConnnectBackupJobs/ConnectBackupJobsEnabled/DnsImpact/default_enabled_prefetch/DnsParallelism/parallel_default/GlobalSdch/global_enable_sdch/IdleSktToImpact/idle_timeout_10/Instant/Inactive/Prefetch/ContentPrefetchPrerenderControl1/PrerenderFromOmniboxHeuristic/ConservativeAlgorithm/ProxyConnectionImpact/proxy_connections_32/SpdyImpact/npn_with_spdy/WarmSocketImpact/warm_socket/ --extension-process --disable-webgl --disable-pepper-3d-for-untrusted-use --disable-gl-multisampling --disable-accelerated-compositing --channel=3436.0xb870dea0.510618236
 3534 ?        Sl     0:00 /usr/lib/chromium-browser/chrome --type=renderer --lang=en-US --force-fieldtest=ConnCountImpact/conn_count_6/ConnnectBackupJobs/ConnectBackupJobsEnabled/DnsImpact/default_enabled_prefetch/DnsParallelism/parallel_default/GlobalSdch/global_enable_sdch/IdleSktToImpact/idle_timeout_10/Instant/Inactive/Prefetch/ContentPrefetchPrerenderControl1/PrerenderFromOmniboxHeuristic/ConservativeAlgorithm/ProxyConnectionImpact/proxy_connections_32/SpdyImpact/npn_with_spdy/WarmSocketImpact/warm_socket/ --extension-process --disable-webgl --disable-pepper-3d-for-untrusted-use --disable-gl-multisampling --disable-accelerated-compositing --channel=3436.0xb870d120.29845005
 3543 ?        Sl     0:00 /usr/lib/chromium-browser/chrome --type=renderer --lang=en-US --force-fieldtest=ConnCountImpact/conn_count_6/ConnnectBackupJobs/ConnectBackupJobsEnabled/DnsImpact/default_enabled_prefetch/DnsParallelism/parallel_default/GlobalSdch/global_enable_sdch/IdleSktToImpact/idle_timeout_10/Instant/Inactive/Prefetch/ContentPrefetchPrerenderControl1/PrerenderFromOmniboxHeuristic/ConservativeAlgorithm/ProxyConnectionImpact/proxy_connections_32/SpdyImpact/npn_with_spdy/WarmSocketImpact/warm_socket/ --extension-process --disable-webgl --disable-pepper-3d-for-untrusted-use --disable-gl-multisampling --disable-accelerated-compositing --channel=3436.0xb870d240.1711842367
 3554 ?        Sl     0:00 /usr/lib/chromium-browser/chrome --type=renderer --lang=en-US --force-fieldtest=ConnCountImpact/conn_count_6/ConnnectBackupJobs/ConnectBackupJobsEnabled/DnsImpact/default_enabled_prefetch/DnsParallelism/parallel_default/GlobalSdch/global_enable_sdch/IdleSktToImpact/idle_timeout_10/Instant/Inactive/Prefetch/ContentPrefetchPrerenderControl1/PrerenderFromOmniboxHeuristic/ConservativeAlgorithm/ProxyConnectionImpact/proxy_connections_32/SpdyImpact/npn_with_spdy/WarmSocketImpact/warm_socket/ --extension-process --disable-webgl --disable-pepper-3d-for-untrusted-use --disable-gl-multisampling --disable-accelerated-compositing --channel=3436.0xb870d360.1700156389
 3570 ?        Sl     0:04 /usr/lib/chromium-browser/chrome --type=renderer --lang=en-US --force-fieldtest=ConnCountImpact/conn_count_6/ConnnectBackupJobs/ConnectBackupJobsEnabled/DnsImpact/default_enabled_prefetch/DnsParallelism/parallel_default/GlobalSdch/global_enable_sdch/IdleSktToImpact/idle_timeout_10/Instant/Inactive/Prefetch/ContentPrefetchPrerenderControl1/PrerenderFromOmniboxHeuristic/ConservativeAlgorithm/ProxyConnectionImpact/proxy_connections_32/SpdyImpact/npn_with_spdy/WarmSocketImpact/warm_socket/ --disable-webgl --disable-pepper-3d-for-untrusted-use --disable-gl-multisampling --disable-accelerated-compositing --channel=3436.0xb8ddbb40.496364670
 3588 ?        Sl     0:02 /usr/lib/chromium-browser/chrome --type=plugin --plugin-path=/opt/Adobe/flash-player/plugin/libflashplayer.so --lang=en-US --channel=3436.0xba9c7dc0.511850370
 3597 pts/1    Ss     0:00 -bash
 3633 pts/1    R+     0:00 ps ax
